Year,Circuit,SessionType,Driver,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,TrackStatus,Position,LapTimeSeconds
2021,Bahrain,Race,BOT,Mercedes,39.0,3.0,HARD,9.0,True,1,3.0,95.198
2021,Bahrain,Race,BOT,Mercedes,40.0,3.0,HARD,10.0,True,1,3.0,94.729
2021,Bahrain,Race,BOT,Mercedes,41.0,3.0,HARD,11.0,True,1,3.0,94.776
2021,Bahrain,Race,BOT,Mercedes,42.0,3.0,HARD,12.0,True,1,3.0,94.798
2021,Bahrain,Race,BOT,Mercedes,43.0,3.0,HARD,13.0,True,1,3.0,94.466
2021,Bahrain,Race,BOT,Mercedes,45.0,3.0,HARD,15.0,True,1,3.0,95.158
2021,Bahrain,Race,BOT,Mercedes,46.0,3.0,HARD,16.0,True,1,3.0,94.379
2021,Bahrain,Race,BOT,Mercedes,47.0,3.0,HARD,17.0,True,1,3.0,94.272
2021,Bahrain,Race,BOT,Mercedes,48.0,3.0,HARD,18.0,True,1,3.0,94.217
2021,Bahrain,Race,BOT,Mercedes,49.0,3.0,HARD,19.0,True,1,3.0,94.212
2021,Bahrain,Race,BOT,Mercedes,50.0,3.0,HARD,20.0,True,1,3.0,94.309
2021,Bahrain,Race,BOT,Mercedes,51.0,3.0,HARD,21.0,True,1,3.0,94.488
2021,Bahrain,Race,BOT,Mercedes,52.0,3.0,HARD,22.0,True,1,3.0,95.125
2021,Bahrain,Race,BOT,Mercedes,53.0,3.0,HARD,23.0,True,1,3.0,94.644
2021,Bahrain,Race,BOT,Mercedes,56.0,4.0,MEDIUM,5.0,False,1,3.0,92.09
2021,Bahrain,Race,NOR,McLaren,6.0,1.0,SOFT,9.0,False,1,5.0,97.893
2021,Bahrain,Race,NOR,McLaren,7.0,1.0,SOFT,10.0,False,1,5.0,96.906
2021,Bahrain,Race,NOR,McLaren,8.0,1.0,SOFT,11.0,False,1,5.0,97.724
2021,Bahrain,Race,NOR,McLaren,9.0,1.0,SOFT,12.0,False,1,4.0,97.36
2021,Bahrain,Race,NOR,McLaren,10.0,1.0,SOFT,13.0,False,1,4.0,97.523
2021,Bahrain,Race,NOR,McLaren,11.0,1.0,SOFT,14.0,False,1,4.0,97.162
2021,Bahrain,Race,NOR,McLaren,14.0,2.0,MEDIUM,2.0,True,1,8.0,95.286
2021,Bahrain,Race,NOR,McLaren,15.0,2.0,MEDIUM,3.0,True,1,8.0,95.679
2021,Bahrain,Race,NOR,McLaren,16.0,2.0,MEDIUM,4.0,True,1,5.0,96.344
